condition,gr_ratio,hue_mean,sat_mean,lbp_std
ripe,0.9292401980669311,75.0781,51.8968,0.05267847757334104
ripe,0.5764081108323877,6.5225,134.2281,0.04240306592264757
ripe,0.5338045466351495,7.7229,156.3679,0.03621996686549593
ripe,0.9550850141597781,53.4418,42.6377,0.08162924720140038
ripe,0.9799460500981143,6.7945,45.8102,0.20168588942180501
ripe,0.7645779909252606,46.9,76.7415,0.05799431005993029
ripe,1.0097464725858225,59.9843,46.794,0.07349893876049898
ripe,0.9669566252768026,68.6016,67.9664,0.04177638088263447
rotten,0.9266789341521598,60.9304,32.6738,0.08146540369182907
rotten,0.5917514789748366,7.4043,143.6228,0.030531393676240307
rotten,0.9610203705101998,63.472,26.7278,0.09557631504809669
rotten,0.9742382113564808,61.828,39.3937,0.07927582228361349
rotten,0.7328408478503161,22.5648,168.2426,0.030238320056132893
rotten,0.7679084187572708,17.5618,135.9202,0.03864119562981161
rotten,0.7826467557638145,29.1296,145.3663,0.0323838539984088
rotten,0.8265806392203133,19.2332,84.6778,0.03686415602896948
rotten,0.9908501613208072,68.5339,20.492,0.0939923932998468
rotten,1.030961681187423,75.5617,28.85,0.11257232340795625
rotten,0.8650946492223681,24.5056,152.6111,0.029223244170167015
rotten,0.9933470808421596,81.6739,33.3405,0.09733028304749432
rotten,1.105535405105829,42.4016,108.6144,0.02709863464924262
rotten,1.0059058940438255,44.4286,49.4682,0.07440028225008906
rotten,0.8327202308692025,41.5038,113.9785,0.03531603035096889
rotten,0.7532414314638415,24.3777,158.3821,0.06127200012443814
rotten,0.7867819837129874,19.4835,126.0989,0.044787877819771824
rotten,0.9105609525696914,76.2531,58.5764,0.06821260879829628
rotten,1.0940181097774286,35.5724,123.6538,0.034623171428398165
rotten,0.8936546222225571,32.3788,75.0221,0.06940159939826086
rotten,0.5437309439144621,10.7514,131.0729,0.03724379142518361
rotten,0.987130570324542,5.7506,31.8533,0.2152928191805983
rotten,1.1246534833242412,36.9704,114.129,0.02856637883661127
rotten,0.9474192135571161,87.6207,45.0893,0.09147877348503493
rotten,0.9465285379232863,37.399,32.6646,0.03370516280590842
rotten,0.9232747586283825,94.1015,31.8679,0.09654856807915732
rotten,0.8023917031884528,20.9192,108.2818,0.03141470992708071
rotten,0.8558825459039622,68.9473,62.3544,0.06840763114641582
rotten,1.0103088454628666,72.4393,29.3131,0.11818709742271515
rotten,0.9177079501157775,84.8395,36.9949,0.0859463437181748
rotten,1.006725077244442,65.5618,32.8126,0.09214854311545967
rotten,0.9966944693671317,73.2792,43.656,0.05258760309661307
rotten,0.6559172614480482,20.0901,159.3596,0.035363710209053024
rotten,0.6865762675931084,15.9398,144.507,0.03223361599002195
rotten,0.9497224985071279,27.1057,132.7651,0.07411207728097681
rotten,1.1997363676137165,42.4292,140.3296,0.03252079334500436
rotten,0.8098136791200015,61.3316,110.5658,0.026547165571093455
